,Company Name,NAIC,Parent
0,SAVERS PROPERTY & CASUALTY INSURANCE COMPANY,16551,Star Insurance Company
1,CENTURY SURETY COMPANY,36951,ProCentury Corporation
2,PACIFIC EMPLOYERS INSURANCE COMPANY,22748,ACE America Insurance Company
3,CAPITOL INDEMNITY CORPORATION,10472,CapSpecialty Inc
4,AMALGAMATED CASUALTY INSURANCE COMPANY,13293,
5,TRAVELERS COMMERCIAL CASUALTY COMPANY,36137,The Travelers Indemnity Company
6,OLD REPUBLIC GENERAL INSURANCE CORPORATION,24147,Old Republic General Insurance Group
7,TRAVELERS COMMERCIAL INSURANCE COMPANY,36137,Travelers Casualty and Surety Company Inc
8,LANCASHIRE INSURANCE COMPANY (UK) LIMITED,,Lancashire Insurance Holdings
9,AMERICAN EMPIRE SURPLUS LINES INSURANCE COMPANY,35351,Great American Insurance Company
10,CANAL INDEMNITY COMPANY,27790,Canal Group
11,FLORIDA AUTOMOBILE JOINT UNDERWRITING ASSOCIATION,,
12,CANAL INSURANCE COMPANY,10464,
13,"MGA INSURANCE COMPANY, INC.",40150,Gainsco Inc
14,SECURIAN CASUALTY COMPANY,10054,
15,"SUNDERLAND MARINE INSURANCE COMPANY, LIMITED",,The North of England Protecting and Indemnity Association
16,AIG ASSURANCE COMPANY,40258,
17,ATLANTIC CASUALTY INSURANCE COMPANY,42846,Strickland Insurance Group
18,FMH AG RISK INSURANCE COMPANY,36781,
19,TRAVELERS CASUALTY COMPANY OF CONNECTICUT,36170,Travelers Casualty and Surety Company Inc
20,FIRST NONPROFIT INSURANCE COMPANY,10859,AmTrust Financial Services
21,SECURITY NATIONAL INSURANCE COMPANY,33120,Bristol West Holdings
22,TECHNOLOGY INSURANCE COMPANY,42376,AmTrust Financial Services
23,WESCO INSURANCE COMPANY,25011,AmTrust Financial Services
24,ZURICH AMERICAN INSURANCE COMPANY OF ILLINOIS,27855,Zurich Insurance group
25,ZURICH AMERICAN INSURANCE COMPANY,16535,Zurich Insurance group
26,UNIVERSAL UNDERWRITERS INSURANCE COMPANY,41181,Zurich Insurance group
27,STEADFAST INSURANCE COMPANY,26387,Zurich Holding Company of America
28,RURAL COMMUNITY INSURANCE COMPANY,39039,
29,FIDELITY AND DEPOSIT COMPANY OF MARYLAND,39306,Zurich American Insurance Company
30,EMPIRE INDEMNITY INSURANCE COMPANY,21334,Zurich North America
31,EMPIRE FIRE AND MARINE INSURANCE COMPANY,21326,Zurich North America
32,AMERICAN ZURICH INSURANCE COMPANY,40142,Zurich Financial Services
33,AMERICAN GUARANTEE AND LIABILITY INSURANCE COMPANY,26247,Zurich North America
34,PACIFIC SPECIALTY INSURANCE COMPANY,37850,Western Service Contract Corp
35,HISCOX  INSURANCE COMPANY INC.,10200,Hiscox ltd
36,PROTECTIVE INSURANCE COMPANY,12416,Protective Life Corp
37,TOPA INSURANCE COMPANY,18031,Topa Equities Ltd
38,INTERNATIONAL INSURANCE COMPANY OF HANNOVER SE,,HDI Global SE
39,"FIRST ACCEPTANCE INSURANCE COMPANY, INC.",10336,Firsst Acceptance Corp
40,CATERPILLAR INSURANCE COMPANY,11255,Caterpillar Financial Insurance Services
41,JAMES RIVER INSURANCE COMPANY,12203,james River Group Inc
42,CAPITOL SPECIALTY INSURANCE CORPORATION,10328,Capitol Indemnity Corp
43,ANCHOR PROPERTY AND CASUALTY INSURANCE COMPANY,15617,Ford Motor Credit Company
44,AMERICAN ROAD INSURANCE COMPANY (THE),19631,
45,UTICA MUTUAL INSURANCE COMPANY,25976,Utica National Insurance Group
46,OLD REPUBLIC UNION INSURANCE COMPANY,31143,Old Republic General Insurance Group
47,"MARINE INSURANCE COMPANY, LTD.",,RSA Insurance Group
48,FAIR AMERICAN SELECT INSURANCE COMPANY,15201,
49,ALLIANZ GLOBAL RISKS US INSURANCE COMPANY,35300,Allianz of America Inc
50,SAFETY SPECIALTY INSURANCE COMPANY,13815,
51,AXIS INSURANCE COMPANY,37273,AXIS Capital Holdings Ltd
52,AXIS SURPLUS INSURANCE COMPANY,26620,AXIS Insurance Company
53,MERIDIAN SECURITY INSURANCE COMPANY,23353,State Automobile Mutual Insurance Company Inc
54,IRONSHORE INDEMNITY  INC.,23647,Ironshore Holdings US Inc
55,CRUM & FORSTER INDEMNITY COMPANY,31348,Crum & Forster Holdings Corp
56,CRUM & FORSTER SPECIALTY INSURANCE COMPANY,44520,Crum & Forster Holdings Corp
57,NORTH RIVER INSURANCE COMPANY,21105,United States Fire Insurance Company inc
58,UNITED STATES FIRE INSURANCE COMPANY,21113,Crum & Forster Holdings Corp
59,HOMESITE INSURANCE COMPANY,17221,Homesite Securities Company LLC
60,IRONSHORE SPECIALTY INSURANCE COMPANY,25445,Ironshore Holdings US Inc
61,STILLWATER INSURANCE COMPANY,25180,Duval Holdings Inc
