Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints
PROGRESSIVE EXPRESS INS CO,10193,Commercial Auto ,44,22.6,"358,506,664",15.5
AUTO OWNERS INS CO,18988,Commercial Auto ,2,1.0,"72,834,021",3.1
WESTFIELD INS CO,24112,Commercial Auto ,1,0.5,"63,676,261",2.8
ZURICH AMER INS CO,16535,Commercial Auto ,1,0.5,"56,616,009",2.4
OWNERS INS CO,32700,Commercial Auto ,1,0.5,"55,073,823",2.4
ALLSTATE INS CO,19232,Commercial Auto ,2,1.0,"52,148,073",2.3
NATIONAL IND CO OF THE SOUTH,42137,Commercial Auto ,26,13.3,"51,800,332",2.2
WESCO INS CO,25011,Commercial Auto ,5,2.6,"40,621,761",1.8
PHILADELPHIA IND INS CO,18058,Commercial Auto ,2,1.0,"35,458,038",1.5
ASCENDANT COMMERCIAL INS INC,13683,Commercial Auto ,5,2.6,"34,565,790",1.5
FCCI INS CO,10178,Commercial Auto ,1,0.5,"34,063,328",1.5
OHIO SECURITY INS CO,24082,Commercial Auto ,4,2.1,"34,008,639",1.5
STATE NATL INS CO INC,12831,Commercial Auto ,2,1.0,"31,720,044",1.4
STATE FARM MUT AUTO INS CO,25178,Commercial Auto ,4,2.1,"31,268,448",1.4
AMERISURE INS CO,19488,Commercial Auto ,2,1.0,"30,168,694",1.3
MAPFRE INS CO OF FL,34932,Commercial Auto ,2,1.0,"29,473,675",1.3
GRANADA INS CO,16870,Commercial Auto ,8,4.1,"29,090,984",1.3
NATIONAL SPECIALTY INS CO,22608,Commercial Auto ,1,0.5,"28,077,020",1.2
ACE AMER INS CO,22667,Commercial Auto ,3,1.5,"26,472,262",1.1
INTEGON PREFERRED INS CO,31488,Commercial Auto ,2,1.0,"25,691,194",1.1
NATIONAL UNION FIRE INS CO OF PITT,19445,Commercial Auto ,1,0.5,"25,498,678",1.1
GOVERNMENT EMPLOYEES INS CO,22063,Commercial Auto ,2,1.0,"25,025,951",1.1
LIBERTY MUT FIRE INS CO,23035,Commercial Auto ,2,1.0,"24,019,118",1.0
CANAL INS CO,10464,Commercial Auto ,1,0.5,"22,610,216",1.0
NATIONAL LIAB & FIRE INS CO,20052,Commercial Auto ,7,3.6,"22,405,382",1.0
INFINITY AUTO INS CO,11738,Commercial Auto ,4,2.1,"21,348,486",0.9
MERCURY IND CO OF AMER,11201,Commercial Auto ,1,0.5,"20,517,798",0.9
LANCER INS CO,26077,Commercial Auto ,1,0.5,"20,321,254",0.9
UNIVERSAL UNDERWRITERS INS CO,41181,Commercial Auto ,2,1.0,"17,946,610",0.8
ILLINOIS NATL INS CO,23817,Commercial Auto ,1,0.5,"17,457,579",0.8
NATIONAL CAS CO,11991,Commercial Auto ,1,0.5,"15,755,935",0.7
STARR IND & LIAB CO,38318,Commercial Auto ,1,0.5,"15,127,993",0.7
AMERICAN GUAR & LIAB INS,26247,Commercial Auto ,1,0.5,"14,457,825",0.6
OCCIDENTAL FIRE & CAS CO OF NC,23248,Commercial Auto ,2,1.0,"12,528,179",0.5
OLD REPUBLIC INS CO,24147,Commercial Auto ,1,0.5,"11,973,421",0.5
HARTFORD FIRE INS CO,19682,Commercial Auto ,1,0.5,"11,717,799",0.5
JAMES RIVER INS CO,12203,Commercial Auto ,1,0.5,"11,709,149",0.5
NORTHLAND INS CO,24015,Commercial Auto ,1,0.5,"10,782,936",0.5
AMERISURE MUT INS CO,23396,Commercial Auto ,1,0.5,"10,313,760",0.4
PLAZA INS CO,30945,Commercial Auto ,1,0.5,"9,887,735",0.4
NEW YORK MARINE & GEN INS CO,16608,Commercial Auto ,1,0.5,"9,382,791",0.4
GREAT WEST CAS CO,11371,Commercial Auto ,2,1.0,"9,296,691",0.4
TRAVELERS CAS INS CO OF AMER,19046,Commercial Auto ,1,0.5,"9,261,890",0.4
COMMERCE & INDUSTRY INS CO,19410,Commercial Auto ,1,0.5,"9,160,011",0.4
AMERICAN STATES INS CO,19704,Commercial Auto ,3,1.5,"7,790,183",0.3
INTEGON NATL INS CO,29742,Commercial Auto ,1,0.5,"7,244,981",0.3
THE CINCINNATI INS CO,10677,Commercial Auto ,1,0.5,"7,100,306",0.3
SPIRIT COMMERCIAL AUTO RRG INC,14207,Commercial Auto ,1,0.5,"4,561,415",0.2
MERCURY INS CO OF FL,11202,Commercial Auto ,1,0.5,"4,439,571",0.2
CHARTER OAK FIRE INS CO,25615,Commercial Auto ,1,0.5,"4,224,574",0.2
UNITED AUTOMOBILE INS CO,35319,Commercial Auto ,1,0.5,"3,652,918",0.2
MESA UNDERWRITERS SPECIALTY INS CO,36838,Commercial Auto ,2,1.0,"3,297,116",0.1
UNITED SPECIALTY INS CO,12537,Commercial Auto ,1,0.5,"3,148,108",0.1
CAROLINA CAS INS CO,10510,Commercial Auto ,1,0.5,"2,222,963",0.1
GREAT AMER INS CO,16691,Commercial Auto ,1,0.5,"2,208,029",0.1
CONIFER INS CO,29734,Commercial Auto ,1,0.5,"1,721,346",0.1
YEL CO INS,44415,Commercial Auto ,0.5,"1,198,076",0.1,9.90
DAILY UNDERWRITERS OF AMER,35483,Commercial Auto ,0.5,"538,460",0.0,22.02
LIBERTY MUT INS CO,23043,Commercial Auto ,0.5,"286,530",0.0,41.39
CHEROKEE INS CO,10642,Commercial Auto ,0.5,"209,561",0.0,56.59
AMERICAN HALLMARK INS CO OF TX,43494,Commercial Auto ,0.5,"166,495",0.0,71.23
KNIGHTBROOK INS CO,13722,Commercial Auto ,0.5,"11,580",0.0,"1,024.07"
