,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
1,"FRATERNAL,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $409,269,163",,,,,,
2,ASSURED LIFE ASSN,56499,FOREIGN,58565916,45813376,12752540,268191
3,BAPTIST LIFE ASSN,57223,FOREIGN,30964206,29452804,1511402,37913
4,CATHOLIC ASSN OF FORESTERS,58130,FOREIGN,12838717,7134303,5704409,2546
5,CATHOLIC FINANCIAL LIFE,56030,FOREIGN,1417204685,1346420874,70783811,839281
6,CATHOLIC HOLY FAMILY SOCIETY,57770,FOREIGN,142172859,136651021,5521838,519819
7,CATHOLIC LIFE INS,57347,FOREIGN,1153734920,1066676175,87058745,10975
8,CATHOLIC ORDER OF FORESTERS,57487,FOREIGN,1140023815,1058224556,81799259,904497
9,CROATIAN FRATERNAL UNION OF AMER,56634,FOREIGN,474311465,433437038,40874427,43555
10,CSA FRATERNAL LIFE,56138,FOREIGN,139796326,136250624,3545701,657316
11,EVERENCE ASSN INC,57991,FOREIGN,439075828,331006099,108069729,1423427
12,FIRST CATH SLOVAK LADIES ASSN USA,56332,FOREIGN,866267376,766876843,99390534,358347
13,FIRST CATH SLOVAK UNION OF US & CN,56340,FOREIGN,382380128,354280731,28099397,542039
14,GBU FINANCIAL LIFE,56685,FOREIGN,2192369095,2038293966,154075129,10922388
15,GCU,56693,FOREIGN,1549960643,1441428668,108531975,8250358
16,GLEANER LIFE INS SOCIETY,56154,FOREIGN,1317259971,1226480928,90779043,3493459
17,INDEPENDENT ORDER OF FORESTERS US BR,58068,ALIEN,3154451812,2909752580,244699232,40373924
18,KNIGHTS OF COLUMBUS,58033,FOREIGN,23626969334,21679450353,1947518981,81975060
19,LOYAL CHRISTIAN BENEFIT ASSN,56758,FOREIGN,185373374,181832550,3540824,207855
20,MODERN WOODMEN OF AMER,57541,FOREIGN,15401301492,13768518993,1632782498,39517372
